year,Temperature,Precipitation,SeaIceFraction,CO2Concentration,EnergyBalance
1961,13.74612427,3.40E-05,7.60,317.1,0.4456
1962,13.72164917,3.40E-05,7.65,317.8,0.2204
1963,13.57751465,3.39E-05,7.61,318.4,-1.2487
1964,13.59143066,3.37E-05,7.67,318.9,-0.3806
1965,13.67785645,3.40E-05,7.72,319.6,-0.1523
1966,13.67797852,3.39E-05,7.73,320.6,0.5497
1967,13.64785767,3.38E-05,7.56,321.6,0.9619
1968,13.82064819,3.40E-05,7.51,322.6,0.6536
1969,14.05429077,3.42E-05,7.32,323.9,0.0036
1970,13.95556641,3.43E-05,7.34,325.0,-0.1437
1971,13.73181152,3.41E-05,7.67,325.9,0.4171
1972,13.87295532,3.41E-05,7.60,327.1,0.7935
1973,13.84869385,3.40E-05,7.39,328.7,0.5420
1974,13.92550659,3.41E-05,7.24,329.7,0.4464
1975,14.01049805,3.43E-05,7.16,330.6,0.2352
1976,14.17852783,3.44E-05,7.06,331.7,0.1762
1977,14.07174683,3.42E-05,7.32,333.3,0.4700
1978,14.0244751,3.43E-05,7.20,334.8,0.7460
1979,14.08093262,3.41E-05,7.12,336.5,0.9346
1980,14.18826294,3.42E-05,7.11,338.4,0.8577
1981,14.25814819,3.43E-05,7.19,339.7,0.5930
1982,14.13357544,3.43E-05,7.30,340.8,-0.8101
1983,13.99053955,3.42E-05,7.31,342.2,-0.5970
1984,14.00738525,3.41E-05,7.39,343.8,0.4015
1985,14.05471802,3.39E-05,7.18,345.3,1.2950
1986,14.23782349,3.43E-05,7.12,346.8,0.7931
1987,14.28451538,3.46E-05,7.14,348.6,0.3376
1988,14.13052368,3.41E-05,7.22,350.7,1.2598
1989,14.16595459,3.41E-05,7.24,352.5,1.3545
1990,14.35577393,3.42E-05,6.90,353.9,1.2383
1991,14.36849976,3.43E-05,6.98,355.0,-1.2124
1992,14.15036011,3.40E-05,7.07,355.9,-0.7251
1993,14.33248901,3.45E-05,7.12,356.8,0.2707
1994,14.1413269,3.42E-05,7.20,358.1,0.8527
1995,14.1184082,3.42E-05,7.24,359.8,1.1462
1996,14.15704346,3.42E-05,7.13,361.5,1.4959
1997,14.36224365,3.42E-05,7.05,363.2,1.4952
1998,14.56988525,3.46E-05,6.94,365.3,0.7879
1999,14.5199585,3.45E-05,6.81,367.3,1.1690
2000,14.61154175,3.45E-05,6.81,368.9,0.9433
2001,14.78500366,3.45E-05,6.80,370.5,0.9307
2002,14.79644775,3.48E-05,6.61,372.5,0.5236
2003,14.60241699,3.46E-05,6.70,374.8,0.9810
2004,14.66537476,3.46E-05,6.80,376.8,1.0889
2005,14.7522583,3.45E-05,6.65,378.8,0.9140
2006,14.79223633,3.47E-05,6.74,380.8,0.7503
2007,14.77267456,3.46E-05,6.80,382.8,1.2784
2008,14.7749939,3.45E-05,6.87,384.8,0.9667
2009,14.7980957,3.47E-05,6.72,387.0,0.9432
2010,14.88891602,3.48E-05,6.69,389.3,0.6289
2011,14.73138428,3.46E-05,6.77,391.6,0.5982
